index,class,object,object_id,desired_precision,min_recall,day_threshold,night_threshold
0,person,person,0,0.85,0.75,0.25,0.35
1,bicycle,vehicle,1,0.85,0.75,0.2,0.3
2,car,vehicle,1,0.85,0.75,0.35,0.5
3,motorcycle,vehicle,1,0.85,0.75,0.15,0.05
4,bus,vehicle,1,0.85,0.75,0.35,0.05
5,train,unknown,-1,0.85,0.75,0.15,0.1
6,truck,vehicle,1,0.85,0.75,0.45,0.1
7,traffic light,unknown,-1,0.85,0.75,0.25,0.05
8,stop sign,unknown,-1,0.85,0.75,0.4,0.05
9,parking meter,unknown,-1,-1,-1,-1,-1
10,bird,unknown,-1,0.85,0.75,0.25,0.05
11,cat,pet,2,0.85,0.75,0.55,0.2
12,dog,pet,2,0.85,0.75,0.45,0.15
13,bear,unknown,-1,-1,-1,-1,-1
14,gun,weapon,3,-1,-1,-1,-1
15,knife,weapon,3,-1,-1,-1,-1
16,fire,hazard,4,-1,-1,-1,-1
17,smoke,hazard,4,-1,-1,-1,-1
18,spill,hazard,4,-1,-1,-1,-1
19,forklift,vehicle,1,0.85,0.75,0.2,0.05
20,shoppingcart,shoppingcart,6,0.85,0.75,0.05,0.05
21,face,bodypart,5,0.85,0.5,0.3,0.35
22,custom,unknown,-1,-1,-1,-1,-1
23,boat,vehicle,1,0.85,0.75,0.2,0.05
24,hand,bodypart,5,0.85,0.75,0.2,0.05
25,plate,vehiclepart,7,-1,-1,-1,-1
26,container,container,8,-1,-1,-1,-1
27,empty_shelf,empty_shelf,9,-1,-1,-1,-1
28,horse,pet,2,-1,-1,-1,-1
29,sheep,pet,2,-1,-1,-1,-1
30,cow,pet,2,-1,-1,-1,-1
31,bag,accessory,10,-1,-1,-1,-1
