index,label,negative_label,category,type,weight,undefined_index
0,black,,upperbodyColor,multi_select,1,64
1,blue,,upperbodyColor,multi_select,1,64
2,brown,,upperbodyColor,multi_select,1,64
3,green,,upperbodyColor,multi_select,1,64
4,grey,,upperbodyColor,multi_select,1,64
5,orange,,upperbodyColor,multi_select,1,64
6,pink,,upperbodyColor,multi_select,1,64
7,purple,,upperbodyColor,multi_select,1,64
8,red,,upperbodyColor,multi_select,1,64
9,white,,upperbodyColor,multi_select,1,64
10,yellow,,upperbodyColor,multi_select,1,64
11,black,,lowerbodyColor,multi_select,1,65
12,blue,,lowerbodyColor,multi_select,1,65
13,brown,,lowerbodyColor,multi_select,1,65
14,green,,lowerbodyColor,multi_select,1,65
15,grey,,lowerbodyColor,multi_select,1,65
16,orange,,lowerbodyColor,multi_select,1,65
17,pink,,lowerbodyColor,multi_select,1,65
18,purple,,lowerbodyColor,multi_select,1,65
19,red,,lowerbodyColor,multi_select,1,65
20,white,,lowerbodyColor,multi_select,1,65
21,yellow,,lowerbodyColor,multi_select,1,65
22,black,,hairColor,multi_select,1,66
23,blue,,hairColor,multi_select,1,66
24,brown,,hairColor,multi_select,1,66
25,green,,hairColor,multi_select,1,66
26,grey,,hairColor,multi_select,1,66
27,orange,,hairColor,multi_select,1,66
28,pink,,hairColor,multi_select,1,66
29,purple,,hairColor,multi_select,1,66
30,red,,hairColor,multi_select,1,66
31,white,,hairColor,multi_select,1,66
32,yellow,,hairColor,multi_select,1,66
33,black,,footwearColor,multi_select,1,67
34,blue,,footwearColor,multi_select,1,67
35,brown,,footwearColor,multi_select,1,67
36,green,,footwearColor,multi_select,1,67
37,grey,,footwearColor,multi_select,1,67
38,orange,,footwearColor,multi_select,1,67
39,pink,,footwearColor,multi_select,1,67
40,purple,,footwearColor,multi_select,1,67
41,red,,footwearColor,multi_select,1,67
42,white,,footwearColor,multi_select,1,67
43,yellow,,footwearColor,multi_select,1,67
44,male,female,genderType,binary,1,68
45,over_60,,ageType,single_select,1,69
46,18_to_60,,ageType,single_select,1,69
47,less_18,,ageType,single_select,1,69
48,hat,no_hat,accessoryType,binary,1,70
49,glasses,no_glasses,accessoryType,binary,1,71
50,bag,no_bag,carryingType,binary,1,72
51,object,no_object,carryingType,binary,1,73
52,short_sleeve,long_sleeve,upperbodyType,binary,1,74
53,logo,no_logo,upperbodyType,binary,1,76
54,not_solid,solid,upperbodyType,binary,1,77
55,not_solid,solid,lowerbodyType,binary,1,78
56,trousers,,lowerbodyType,single_select,1,79
57,shorts,,lowerbodyType,single_select,1,79
58,skirt_and_dress,,lowerbodyType,single_select,1,79
59,front,,poseType,single_select,1,80
60,side,,poseType,single_select,1,80
61,back,,poseType,single_select,1,80
62,occluded,not_occluded,specialType,binary,1,-1
63,multi_person,single_person,specialType,binary,1,-1
64,unknown,,upperbodyColor,undefined,1,64
65,unknown,,lowerbodyColor,undefined,1,65
66,unknown,,hairColor,undefined,1,66
67,unknown,,footwearColor,undefined,1,67
68,unknown,,genderType,undefined,1,68
69,unknown,,ageType,undefined,1,69
70,unknown,hat,accessoryType,undefined,1,70
71,unknown,glasses,accessoryType,undefined,1,71
72,unknown,bag,accessoryType,undefined,1,72
73,unknown,object,accessoryType,undefined,1,73
74,unknown,short_sleeve,upperbodyType,undefined,1,74
75,failure,success,globalType,binary,1,-1
76,unknown,logo,upperbodyType,undefined,1,76
77,unknown,not_solid,upperbodyType,undefined,1,77
78,unknown,not_solid,lowerbodyType,undefined,1,78
79,unknown,,lowerbodyType,undefined,1,79
80,unknown,pose,specialType,undefined,1,80
