index,label,negative_label,category,type,high_conf,low_conf,calibrated,undefined_index
0,black,,upperbodyColor,multi_select,0.5,0.5,1,64
1,blue,,upperbodyColor,multi_select,0.543722808,0.5,1,64
2,brown,,upperbodyColor,multi_select,0.868419349,0.698004603,1,64
3,green,,upperbodyColor,multi_select,0.94154048,0.93849057,1,64
4,grey,,upperbodyColor,multi_select,0.804868698,0.500685155,1,64
5,orange,,upperbodyColor,multi_select,0.901677489,0.779443562,1,64
6,pink,,upperbodyColor,multi_select,0.966996312,0.967535496,1,64
7,purple,,upperbodyColor,multi_select,0.856633008,0.718039453,1,64
8,red,,upperbodyColor,multi_select,0.859904468,0.5,1,64
9,white,,upperbodyColor,multi_select,0.649814248,0.5,1,64
10,yellow,,upperbodyColor,multi_select,0.826019108,0.703191161,1,64
11,black,,lowerbodyColor,multi_select,0.5,0.5,1,65
12,blue,,lowerbodyColor,multi_select,0.5,0.5,1,65
13,brown,,lowerbodyColor,multi_select,0.828144372,0.791868269,1,65
14,green,,lowerbodyColor,multi_select,0.945649207,0.945288122,1,65
15,grey,,lowerbodyColor,multi_select,0.753337562,0.5,1,65
16,orange,,lowerbodyColor,multi_select,0.5,0.5,0,65
17,pink,,lowerbodyColor,multi_select,0.996879458,0.996688545,1,65
18,purple,,lowerbodyColor,multi_select,0.915041089,0.906946361,1,65
19,red,,lowerbodyColor,multi_select,0.895029068,0.787154496,1,65
20,white,,lowerbodyColor,multi_select,0.823838294,0.697259903,1,65
21,yellow,,lowerbodyColor,multi_select,0.99915576,0.951146901,1,65
22,black,,hairColor,multi_select,0.5,0.5,1,66
23,blue,,hairColor,multi_select,0.5,0.5,0,66
24,brown,,hairColor,multi_select,0.757599771,0.5,1,66
25,green,,hairColor,multi_select,0.5,0.5,0,66
26,grey,,hairColor,multi_select,0.896838427,0.654218674,1,66
27,orange,,hairColor,multi_select,0.5,0.5,0,66
28,pink,,hairColor,multi_select,0.5,0.5,0,66
29,purple,,hairColor,multi_select,0.5,0.5,0,66
30,red,,hairColor,multi_select,0.5,0.5,0,66
31,white,,hairColor,multi_select,0.915428996,0.908181787,1,66
32,yellow,,hairColor,multi_select,0.913499177,0.911236703,1,66
33,black,,footwearColor,multi_select,0.5,0.5,1,67
34,blue,,footwearColor,multi_select,0.878556252,0.745430291,1,67
35,brown,,footwearColor,multi_select,0.773970187,0.5,1,67
36,green,,footwearColor,multi_select,0.73617816,0.72308892,1,67
37,grey,,footwearColor,multi_select,0.717164099,0.551895678,1,67
38,orange,,footwearColor,multi_select,0.992817402,0.882057428,1,67
39,pink,,footwearColor,multi_select,0.997423887,0.997238874,1,67
40,purple,,footwearColor,multi_select,0.981337011,0.979340971,1,67
41,red,,footwearColor,multi_select,0.834916413,0.790047109,1,67
42,white,,footwearColor,multi_select,0.5,0.5,1,67
43,yellow,,footwearColor,multi_select,0.964232087,0.962541521,1,67
44,male,female,genderType,binary,0.5,0.5,1,68
45,over_60,,ageType,single_select,0.5,0.5,0,69
46,18_to_60,,ageType,single_select,0.5,0.5,0,69
47,less_18,,ageType,single_select,0.5,0.5,0,69
48,hat,no_hat,accessoryType,binary,0.5,0.5,1,70
49,glasses,no_glasses,accessoryType,binary,0.5,0.5,1,71
50,bag,no_bag,carryingType,binary,0.5,0.5,1,72
51,object,no_object,carryingType,binary,0.5,0.5,1,73
52,short_sleeve,long_sleeve,upperbodyType,binary,0.5,0.5,1,74
53,logo,no_logo,upperbodyType,binary,0.5,0.5,1,76
54,not_solid,solid,upperbodyType,binary,0.5,0.5,1,77
55,not_solid,solid,lowerbodyType,binary,0.5,0.5,1,78
56,trousers,,lowerbodyType,single_select,0.5,0.5,0,79
57,shorts,,lowerbodyType,single_select,0.5,0.5,0,79
58,skirt_and_dress,,lowerbodyType,single_select,0.5,0.5,0,79
59,front,,poseType,single_select,0.5,0.5,0,80
60,side,,poseType,single_select,0.5,0.5,0,80
61,back,,poseType,single_select,0.5,0.5,0,80
62,occluded,not_occluded,specialType,binary,0.5,0.5,1,-1
63,multi_person,single_person,specialType,binary,0.5,0.5,1,-1
64,unknown,,upperbodyColor,undefined,0.5,0.5,1,64
65,unknown,,lowerbodyColor,undefined,0.5,0.5,1,65
66,unknown,,hairColor,undefined,0.5,0.5,1,66
67,unknown,,footwearColor,undefined,0.5,0.5,1,67
68,unknown,,genderType,undefined,0.5,0.5,1,68
69,unknown,,ageType,undefined,0.5,0.5,1,69
70,unknown,hat,accessoryType,undefined,0.5,0.5,1,70
71,unknown,glasses,accessoryType,undefined,0.5,0.5,1,71
72,unknown,bag,accessoryType,undefined,0.5,0.5,1,72
73,unknown,object,accessoryType,undefined,0.5,0.5,1,73
74,unknown,short_sleeve,upperbodyType,undefined,0.5,0.5,1,74
75,failure,success,globalType,binary,0.5,0.5,1,-1
76,unknown,logo,upperbodyType,undefined,0.5,0.5,1,76
77,unknown,not_solid,upperbodyType,undefined,0.5,0.5,1,77
78,unknown,not_solid,lowerbodyType,undefined,0.5,0.5,1,78
79,unknown,,lowerbodyType,undefined,0.5,0.5,1,79
80,unknown,pose,specialType,undefined,0.5,0.5,1,80
