index,label,negative_label,category,type,high_conf,med_conf,low_conf,calibrated,undefined_index
0,black,,upperbodyColor,multi_select,0.5,0.5,0.5,1,64
1,blue,,upperbodyColor,multi_select,0.5,0.5,0.5,1,64
2,brown,,upperbodyColor,multi_select,0.723844707,0.611922354,0.5,1,64
3,green,,upperbodyColor,multi_select,0.799483061,0.64974153,0.5,1,64
4,grey,,upperbodyColor,multi_select,0.810890019,0.655445009,0.5,1,64
5,orange,,upperbodyColor,multi_select,0.866883159,0.722668052,0.578452945,1,64
6,pink,,upperbodyColor,multi_select,0.925546646,0.783955097,0.642363548,1,64
7,purple,,upperbodyColor,multi_select,0.885275424,0.791143894,0.697012365,1,64
8,red,,upperbodyColor,multi_select,0.825443685,0.662721843,0.5,1,64
9,white,,upperbodyColor,multi_select,0.694080353,0.597040176,0.5,1,64
10,yellow,,upperbodyColor,multi_select,0.891824186,0.76129207,0.630759954,1,64
11,black,,lowerbodyColor,multi_select,0.5,0.5,0.5,1,65
12,blue,,lowerbodyColor,multi_select,0.5,0.5,0.5,1,65
13,brown,,lowerbodyColor,multi_select,0.645750403,0.572875202,0.5,1,65
14,green,,lowerbodyColor,multi_select,0.870242238,0.74895525,0.627668262,1,65
15,grey,,lowerbodyColor,multi_select,0.877031744,0.711854905,0.546678066,1,65
16,orange,,lowerbodyColor,multi_select,0.891643882,0.771409184,0.651174486,1,65
17,pink,,lowerbodyColor,multi_select,0.805304825,0.652652413,0.5,1,65
18,purple,,lowerbodyColor,multi_select,0.948263049,0.846635252,0.745007455,1,65
19,red,,lowerbodyColor,multi_select,0.853244305,0.709935248,0.566626191,1,65
20,white,,lowerbodyColor,multi_select,0.8094244,0.666461706,0.523499012,1,65
21,yellow,,lowerbodyColor,multi_select,0.850830197,0.771570444,0.692310691,1,65
22,black,,hairColor,multi_select,0.5,0.5,0.5,1,66
23,blue,,hairColor,multi_select,0.985777855,0.985777855,0.985777855,1,66
24,brown,,hairColor,multi_select,0.580327511,0.540163755,0.5,1,66
25,green,,hairColor,multi_select,0.943498969,0.943498969,0.943498969,1,66
26,grey,,hairColor,multi_select,0.857943356,0.682130933,0.50631851,1,66
27,orange,,hairColor,multi_select,0.996142566,0.996142566,0.996142566,1,66
28,pink,,hairColor,multi_select,0.91915226,0.91915226,0.91915226,1,66
29,purple,,hairColor,multi_select,0.927713275,0.927713275,0.927713275,1,66
30,red,,hairColor,multi_select,0.996745706,0.984254509,0.971763313,1,66
31,white,,hairColor,multi_select,0.886817038,0.74247995,0.598142862,1,66
32,yellow,,hairColor,multi_select,0.750799239,0.625399619,0.5,1,66
33,black,,footwearColor,multi_select,0.5,0.5,0.5,1,67
34,blue,,footwearColor,multi_select,0.577592194,0.538796097,0.5,1,67
35,brown,,footwearColor,multi_select,0.595282853,0.547641426,0.5,1,67
36,green,,footwearColor,multi_select,0.916759312,0.762169391,0.60757947,1,67
37,grey,,footwearColor,multi_select,0.811023295,0.738139153,0.66525501,1,67
38,orange,,footwearColor,multi_select,0.87491411,0.74115023,0.607386351,1,67
39,pink,,footwearColor,multi_select,0.730503559,0.61525178,0.5,1,67
40,purple,,footwearColor,multi_select,0.991661787,0.943773746,0.895885706,1,67
41,red,,footwearColor,multi_select,0.5,0.5,0.5,1,67
42,white,,footwearColor,multi_select,0.819268823,0.679208606,0.53914839,1,67
43,yellow,,footwearColor,multi_select,0.935916901,0.797040284,0.658163667,1,67
44,male,female,genderType,binary,0.5,0.5,0.5,1,68
45,18_to_60,,ageType,single_select,0,0,0,1,69
46,over_60,,ageType,single_select,0.727936029,0.501879349,0.275822669,1,69
47,less_18,,ageType,single_select,0.443623245,0.269578904,0.095534563,1,69
48,hat,no_hat,accessoryType,binary,0.5,0.5,0.5,1,70
49,glasses,no_glasses,accessoryType,binary,0.77715838,0.63857919,0.5,1,71
50,bag,no_bag,carryingType,binary,0.569709897,0.534854949,0.5,1,72
51,object,no_object,carryingType,binary,0.633999109,0.566999555,0.5,1,73
52,short_sleeve,long_sleeve,upperbodyType,binary,0.5,0.5,0.5,1,74
53,logo,no_logo,upperbodyType,binary,0.610557854,0.555278927,0.5,1,76
54,not_solid,solid,upperbodyType,binary,0.595322073,0.547661036,0.5,1,77
55,not_solid,solid,lowerbodyType,binary,0.699240029,0.599620014,0.5,1,78
