category,index,label,high_conf,low_conf
type,0,sedan,1,-6
type,1,suv,6.5,0.2
type,2,van,6.5,3.15
type,3,pickup truck,2.5,-1
type,4,bus,3.8,2.65
type,5,big truck,2.1,0.7
make,0,Acura,11.5,7.5
make,1,Alfa Romeo,11.5,7.5
make,2,Audi,11.5,7.5
make,3,Bentley,11.5,7.5
make,4,BMW,11.5,7.5
make,5,Bugatti,11.5,7.5
make,6,Buick,11.5,7.5
make,7,Cadillac,11.5,7.5
make,8,Chevrolet,11.5,7.5
make,9,Chrysler,11.5,7.5
make,10,Citroen,11.5,7.5
make,11,Dacia,11.5,7.5
make,12,Daewoo,11.5,7.5
make,13,Daihatsu,11.5,7.5
make,14,Datsun,11.5,7.5
make,15,Dodge,11.5,7.5
make,16,Eagle,11.5,7.5
make,17,Ferrari,11.5,7.5
make,18,Fiat,11.5,7.5
make,19,Fisker,11.5,7.5
make,20,Ford,11.5,7.5
make,21,Genesis,11.5,7.5
make,22,Geo,11.5,7.5
make,23,GMC,11.5,7.5
make,24,Holden,11.5,7.5
make,25,Honda,11.5,7.5
make,26,Hummer,11.5,7.5
make,27,Hyundai,11.5,7.5
make,28,Infiniti,11.5,7.5
make,29,Isuzu,11.5,7.5
make,30,Iveco,11.5,7.5
make,31,Jaguar,11.5,7.5
make,32,Jeep,11.5,7.5
make,33,Kenworth,11.5,7.5
make,34,Kia,11.5,7.5
make,35,Lada,11.5,7.5
make,36,Lamborghini,11.5,7.5
make,37,Lancia,11.5,7.5
make,38,Land-Rover,11.5,7.5
make,39,Lexus,11.5,7.5
make,40,Lincoln,11.5,7.5
make,41,Maserati,11.5,7.5
make,42,Maybach,11.5,7.5
make,43,Mazda,11.5,7.5
make,44,McLaren,11.5,7.5
make,45,Mercedes-Benz,11.5,7.5
make,46,Mercury,11.5,7.5
make,47,MG,11.5,7.5
make,48,Mini,11.5,7.5
make,49,Mitsubishi,11.5,7.5
make,50,Nissan,11.5,7.5
make,51,Opel,11.5,7.5
make,52,Peterbilt,11.5,7.5
make,53,Peugeot,11.5,7.5
make,54,Plymouth,11.5,7.5
make,55,Pontiac,11.5,7.5
make,56,Porsche,11.5,7.5
make,57,RAM,11.5,7.5
make,58,Renault,11.5,7.5
make,59,Rolls-Royce,11.5,7.5
make,60,Saab,11.5,7.5
make,61,Saturn,11.5,7.5
make,62,Scion,11.5,7.5
make,63,SEAT,11.5,7.5
make,64,Skoda,11.5,7.5
make,65,Smart,11.5,7.5
make,66,Spyker,11.5,7.5
make,67,SsangYong,11.5,7.5
make,68,Subaru,11.5,7.5
make,69,Suzuki,11.5,7.5
make,70,Tesla,11.5,7.5
make,71,Toyota,11.5,7.5
make,72,Volkswagen,11.5,7.5
make,73,Volvo,11.5,7.5
colors,0,black,8.5,5
colors,1,blue,9,5
colors,2,brown,3,2
colors,3,green,4.6,3.5
colors,4,grey,6.5,2.5
colors,5,orange,-2,-3
colors,6,pink,-1.5,-2
colors,7,purple,-2.5,-3
colors,8,red,10,6
colors,9,yellow,6,3.5
colors,10,white,9,6
