category,index,label,high_conf,med_conf,low_conf
type,0,sedan,5,1.4,-1.5
type,1,suv,11.5,9.5,7
type,2,van,8,7,6
type,3,pickup truck,6,3.3,1.7
type,4,motorcycle,2,0.5,-0.4
type,5,bus,8,6.6,6
type,6,big truck,4.2,3.2,2.6
type,7,bicycle,2.2,1.5,1.1
type,8,no_vehicle,12,10.5,9.4
type,9,forklift,1,0.2,-0.3
make,0,Acura,14,11.5,9
make,1,Alfa Romeo,14,11.5,9
make,2,Audi,14,11.5,9
make,3,Bentley,14,11.5,9
make,4,BMW,14,11.5,9
make,5,Bugatti,14,11.5,9
make,6,Buick,14,11.5,9
make,7,Cadillac,14,11.5,9
make,8,Chevrolet,14,11.5,9
make,9,Chrysler,14,11.5,9
make,10,Citroen,14,11.5,9
make,11,Dacia,14,11.5,9
make,12,Daewoo,14,11.5,9
make,13,Daihatsu,14,11.5,9
make,14,Datsun,14,11.5,9
make,15,Dodge,14,11.5,9
make,16,Eagle,14,11.5,9
make,17,Ferrari,14,11.5,9
make,18,Fiat,14,11.5,9
make,19,Fisker,14,11.5,9
make,20,Ford,14,11.5,9
make,21,Genesis,14,11.5,9
make,22,Geo,14,11.5,9
make,23,GMC,14,11.5,9
make,24,Holden,14,11.5,9
make,25,Honda,14,11.5,9
make,26,Hummer,14,11.5,9
make,27,Hyundai,14,11.5,9
make,28,Infiniti,14,11.5,9
make,29,Isuzu,14,11.5,9
make,30,Iveco,14,11.5,9
make,31,Jaguar,14,11.5,9
make,32,Jeep,14,11.5,9
make,33,Kenworth,14,11.5,9
make,34,Kia,14,11.5,9
make,35,Lada,14,11.5,9
make,36,Lamborghini,14,11.5,9
make,37,Lancia,14,11.5,9
make,38,Land-Rover,14,11.5,9
make,39,Lexus,14,11.5,9
make,40,Lincoln,14,11.5,9
make,41,Maserati,14,11.5,9
make,42,Maybach,14,11.5,9
make,43,Mazda,14,11.5,9
make,44,McLaren,14,11.5,9
make,45,Mercedes-Benz,14,11.5,9
make,46,Mercury,14,11.5,9
make,47,MG,14,11.5,9
make,48,Mini,14,11.5,9
make,49,Mitsubishi,14,11.5,9
make,50,Nissan,14,11.5,9
make,51,Opel,14,11.5,9
make,52,Peterbilt,14,11.5,9
make,53,Peugeot,14,11.5,9
make,54,Plymouth,14,11.5,9
make,55,Pontiac,14,11.5,9
make,56,Porsche,14,11.5,9
make,57,RAM,14,11.5,9
make,58,Renault,14,11.5,9
make,59,Rolls-Royce,14,11.5,9
make,60,Saab,14,11.5,9
make,61,Saturn,14,11.5,9
make,62,Scion,14,11.5,9
make,63,SEAT,14,11.5,9
make,64,Skoda,14,11.5,9
make,65,Smart,14,11.5,9
make,66,Spyker,14,11.5,9
make,67,SsangYong,14,11.5,9
make,68,Subaru,14,11.5,9
make,69,Suzuki,14,11.5,9
make,70,Tesla,14,11.5,9
make,71,Toyota,14,11.5,9
make,72,Volkswagen,14,11.5,9
make,73,Volvo,14,11.5,9
colors,0,black,2,-1,-3
colors,1,blue,12,6,3
colors,2,brown,1.3,0.8,0.2
colors,3,green,4.8,4.25,3.5
colors,4,grey,11,8,6
colors,5,orange,-2,-3,-4
colors,6,pink,-1.5,-2.25,-3
colors,7,purple,-2.5,-3,-3.5
colors,8,red,11,9.5,8
colors,9,yellow,8,7,6
colors,10,white,13,10,9
