benchmark,tracker,detector_id,detector,sequence_count,HOTA,DetA,AssA,MOTA,IDF1,IDSW,Frag,MT,ML,run_id,evaluated_at,experiment_dir
fasttracker_bench,fasttracker,gt_vehicles,gt,12,0.9710127868593263,0.9686202831687011,0.973504167384175,0.9824602632028713,0.9861689343594863,133.0,358.0,848.0,8.0,fasttracker_bench_fasttracker_gt_20260729_085336,2026-07-29T06:05:35.824421+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_fasttracker_gt_20260729_085336
fasttracker_bench,ocsort,gt_vehicles,gt,12,0.9907947488650324,0.9958461170190251,0.9857690045969932,0.9959375780602922,0.9920220254669462,58.0,52.0,1009.0,7.0,fasttracker_bench_ocsort_gt_20260729_085336,2026-07-29T06:07:24.236772+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_ocsort_gt_20260729_085336
fasttracker_bench,hybridsort,gt_vehicles,gt,12,0.9907521846295723,0.9959466714454647,0.9855847903224415,0.9958373322114563,0.9919303113511644,70.0,69.0,1009.0,7.0,fasttracker_bench_hybridsort_gt_20260729_085336,2026-07-29T06:10:32.942379+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_hybridsort_gt_20260729_085336
ua_detrac,fasttracker,gt_vehicles,gt,60,0.8801835433740595,0.8625109931540683,0.8997502156460543,0.9423632039125428,0.9710560595448624,25.0,855.0,5605.0,38.0,ua_detrac_fasttracker_gt_20260729_085336,2026-07-29T06:13:20.478516+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_fasttracker_gt_20260729_085336
ua_detrac,ocsort,gt_vehicles,gt,60,0.9723376526135228,0.972171046263291,0.9725042875574703,0.9721953396480918,0.9856399234536052,11.0,17.0,5798.0,27.0,ua_detrac_ocsort_gt_20260729_085336,2026-07-29T06:16:09.589394+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_ocsort_gt_20260729_085336
ua_detrac,hybridsort,gt_vehicles,gt,60,0.9723371874166634,0.9721750196017064,0.9724993823246725,0.9721986825588644,0.985640807464102,12.0,17.0,5798.0,26.0,ua_detrac_hybridsort_gt_20260729_085336,2026-07-29T06:20:04.288436+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_hybridsort_gt_20260729_085336
trafficmot,fasttracker,gt_vehicles,gt,27,0.9003678326252774,0.8802699158054721,0.923567609359052,0.9705309553095531,0.9851855622868197,5.0,42.0,706.0,1.0,trafficmot_fasttracker_gt_20260729_085336,2026-07-29T06:20:10.726100+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_fasttracker_gt_20260729_085336
trafficmot,ocsort,gt_vehicles,gt,27,0.9902778302960332,0.9894649417411139,0.9910913866764784,0.9892886428864288,0.993869455463397,7.0,32.0,706.0,3.0,trafficmot_ocsort_gt_20260729_085336,2026-07-29T06:20:15.536011+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_ocsort_gt_20260729_085336
trafficmot,hybridsort,gt_vehicles,gt,27,0.9902778302960332,0.9894649417411139,0.9910913866764784,0.9892886428864288,0.993869455463397,7.0,32.0,706.0,3.0,trafficmot_hybridsort_gt_20260729_085336,2026-07-29T06:20:21.605324+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_hybridsort_gt_20260729_085336
cityflow,fasttracker,gt_vehicles,gt,36,0.8962302567275129,0.8972714986090385,0.8965225095429964,0.9546705520479197,0.955862430625355,60.0,193.0,764.0,1.0,cityflow_fasttracker_gt_20260729_085336,2026-07-29T06:22:05.894713+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_fasttracker_gt_20260729_085336
cityflow,ocsort,gt_vehicles,gt,36,0.9481384238135511,0.96054288801237,0.935894151259462,0.9597038868529884,0.9580981263511891,60.0,156.0,654.0,16.0,cityflow_ocsort_gt_20260729_085336,2026-07-29T06:22:45.724663+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_ocsort_gt_20260729_085336
cityflow,hybridsort,gt_vehicles,gt,36,0.9420753235304236,0.9602485475595696,0.9242460378302929,0.9593359530222085,0.9507793026817623,65.0,163.0,654.0,16.0,cityflow_hybridsort_gt_20260729_085336,2026-07-29T06:23:34.645839+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_hybridsort_gt_20260729_085336
