benchmark,tracker,tracker_year,preferred_detector,detector_id,detector,FPS,target_fps,avg_ms_per_frame,sequence_count,HOTA,DetA,AssA,MOTA,IDF1,IDCons,IDSW,Frag,MT,ML,run_id,evaluated_at,experiment_dir
fasttracker_bench,fasttracker,2025,YOLOX,gt_vehicles,gt,5,5.0,5.2248,12,0.9190233863904771,0.8998675180625085,0.9400470256041166,0.9367293716082763,0.9612120923362794,0.9486498915270469,302.0,243.0,776.0,52.0,fasttracker_bench_fasttracker_gt_fps5_20260817_083521,2026-08-17T05:35:51.633622+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_fasttracker_gt_fps5_20260817_083521
fasttracker_bench,ocsort,2023,YOLOX,gt_vehicles,gt,5,5.0,5.5546,12,0.96789420880751,0.9712842048744941,0.9645160445743763,0.9704979961264837,0.97608474666952,0.9856499857312905,82.0,75.0,740.0,76.0,fasttracker_bench_ocsort_gt_fps5_20260817_083521,2026-08-17T05:35:52.368476+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_ocsort_gt_fps5_20260817_083521
fasttracker_bench,hybridsort,2024,YOLOX,gt_vehicles,gt,5,5.0,10.2209,12,0.966250240780511,0.9713225565207387,0.9612044130352301,0.9705651115074114,0.9740521874468033,0.9854826225196779,79.0,70.0,738.0,77.0,fasttracker_bench_hybridsort_gt_fps5_20260817_083521,2026-08-17T05:36:07.455346+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_hybridsort_gt_fps5_20260817_083521
fasttracker_bench,analytics_bytetrack,2022,YOLO,gt_vehicles,gt,5,5.0,4.9108,12,0.9842509670330578,0.9911324120885595,0.9774173017212697,0.98983681374523,0.9867108354839952,0.9704430549999091,152.0,70.0,929.0,9.0,fasttracker_bench_analytics_bytetrack_gt_fps5_20260817_083521,2026-08-17T05:35:49.209574+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_analytics_bytetrack_gt_fps5_20260817_083521
fasttracker_bench,analytics_bytetrack_plus,2022,YOLO,gt_vehicles,gt,5,5.0,8.6120,12,0.9843495457392072,0.9911376368960877,0.9776079451894898,0.9903066214117241,0.9872159706472908,0.9843371170467891,96.0,58.0,936.0,11.0,fasttracker_bench_analytics_bytetrack_plus_gt_fps5_20260817_083521,2026-08-17T05:36:02.812353+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_analytics_bytetrack_plus_gt_fps5_20260817_083521
fasttracker_bench,botsort,2022,YOLOX,gt_vehicles,gt,5,5.0,3.9539,12,0.9711440592737705,0.9749238973797711,0.9677774667899665,0.992972060825711,0.9861454677942051,0.9239431555072096,725.0,5.0,1017.0,0.0,fasttracker_bench_botsort_gt_fps5_20260817_083521,2026-08-17T05:35:45.801642+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_botsort_gt_fps5_20260817_083521
ua_detrac,fasttracker,2025,YOLOX,gt_vehicles,gt,5,5.0,2.0123,60,0.588164316583374,0.5243207587866415,0.6810619353980588,0.4264010667097661,0.6759662283138853,0.781281091543691,10204.0,1948.0,3102.0,906.0,ua_detrac_fasttracker_gt_fps5_20260817_083521,2026-08-17T05:36:23.142313+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_fasttracker_gt_fps5_20260817_083521
ua_detrac,ocsort,2023,YOLOX,gt_vehicles,gt,5,5.0,4.4213,60,0.7185980292286083,0.6192169380581035,0.833929267553055,0.6150551537435855,0.754484204222189,0.9659312816189148,515.0,330.0,1304.0,2626.0,ua_detrac_ocsort_gt_fps5_20260817_083521,2026-08-17T05:36:59.271458+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_ocsort_gt_fps5_20260817_083521
ua_detrac,hybridsort,2024,YOLOX,gt_vehicles,gt,5,5.0,7.4451,60,0.7192055216306839,0.614604191770076,0.8416092653984555,0.610707503333468,0.7510135033683346,0.9669447288217226,485.0,310.0,1325.0,2782.0,ua_detrac_hybridsort_gt_fps5_20260817_083521,2026-08-17T05:38:09.376666+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_hybridsort_gt_fps5_20260817_083521
ua_detrac,analytics_bytetrack,2022,YOLO,gt_vehicles,gt,5,5.0,2.5576,60,0.9038386507622476,0.923199090066106,0.8848842372045431,0.9040850135359004,0.9208362381044374,0.9268518641147658,2493.0,778.0,4751.0,117.0,ua_detrac_analytics_bytetrack_gt_fps5_20260817_083521,2026-08-17T05:36:55.563483+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_analytics_bytetrack_gt_fps5_20260817_083521
