benchmark,tracker,tracker_year,preferred_detector,detector_id,detector,FPS,target_fps,avg_ms_per_frame,sequence_count,HOTA,DetA,AssA,MOTA,IDF1,IDCons,IDSW,Frag,MT,ML,run_id,evaluated_at,experiment_dir
fasttracker_bench,fasttracker,2025,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,30,,2.3892,12,0.5342202930598046,0.41352075726503457,0.7099343937432098,0.46301749865243286,0.601575232895315,0.952944112515936,271.0,844.0,259.0,298.0,fasttracker_bench_fasttracker_yolov8_20260817_083521,2026-08-17T06:00:07.075704+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_fasttracker_yolov8_20260817_083521
fasttracker_bench,ocsort,2023,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,30,,3.2290,12,0.5469402884946087,0.42483883436627545,0.720317607543806,0.4818965857249911,0.6168906462098445,0.9627594845717566,256.0,1421.0,437.0,295.0,fasttracker_bench_ocsort_yolov8_20260817_083521,2026-08-17T06:00:22.634573+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_ocsort_yolov8_20260817_083521
fasttracker_bench,hybridsort,2024,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,30,,4.9141,12,0.5461397606794286,0.42481109518589283,0.7182023703184555,0.48200997857039557,0.6153649209055654,0.9629379650417911,218.0,1390.0,436.0,297.0,fasttracker_bench_hybridsort_yolov8_20260817_083521,2026-08-17T06:00:55.452588+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_hybridsort_yolov8_20260817_083521
fasttracker_bench,analytics_bytetrack,2022,YOLO,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,30,,3.6580,12,0.555888132355566,0.42812162538966847,0.7384093402911037,0.486083904132101,0.6366042639203041,0.9716542036008693,163.0,1354.0,449.0,284.0,fasttracker_bench_analytics_bytetrack_yolov8_20260817_083521,2026-08-17T06:00:31.480579+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_analytics_bytetrack_yolov8_20260817_083521
fasttracker_bench,analytics_bytetrack_plus,2022,YOLO,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,30,,6.0673,12,0.5597123916979857,0.4265176478410943,0.7520876184358711,0.48412007151966135,0.6391394708636664,0.967949214644835,222.0,1356.0,448.0,284.0,fasttracker_bench_analytics_bytetrack_plus_yolov8_20260817_083521,2026-08-17T06:01:19.167802+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_analytics_bytetrack_plus_yolov8_20260817_083521
fasttracker_bench,botsort,2022,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,30,,2.1982,12,0.5218405480006117,0.39524938141385985,0.7037094608832747,0.44804635630990103,0.580528348469761,0.9558410491367546,229.0,526.0,423.0,327.0,fasttracker_bench_botsort_yolov8_20260817_083521,2026-08-17T06:00:02.283348+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_botsort_yolov8_20260817_083521
ua_detrac,fasttracker,2025,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,25,,2.1117,60,0.4768643114600117,0.361735595924919,0.6325916691577199,-0.2132342494580306,0.57311586019779,0.9893761516612758,370.0,2266.0,4234.0,260.0,ua_detrac_fasttracker_yolov8_20260817_083521,2026-08-17T06:02:58.172873+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_fasttracker_yolov8_20260817_083521
ua_detrac,ocsort,2023,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,25,,2.9309,60,0.5202472835496205,0.39843644549401147,0.6818297141276595,-0.06741481009759628,0.6137347126394087,0.987678186186152,432.0,1740.0,5129.0,166.0,ua_detrac_ocsort_yolov8_20260817_083521,2026-08-17T06:04:07.049673+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_ocsort_yolov8_20260817_083521
ua_detrac,hybridsort,2024,YOLOX,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,25,,4.6406,60,0.5212009562887635,0.39920634588175014,0.6829530037114406,-0.0631091410223624,0.6148994765840701,0.9883919232011668,371.0,1674.0,5113.0,174.0,ua_detrac_hybridsort_yolov8_20260817_083521,2026-08-17T06:07:31.408572+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_hybridsort_yolov8_20260817_083521
ua_detrac,analytics_bytetrack,2022,YOLO,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,25,,3.8776,60,0.5138870617169882,0.39223068916950704,0.675706977084637,-0.1114225589647674,0.6090065288036121,0.9915341845442242,319.0,1958.0,5274.0,136.0,ua_detrac_analytics_bytetrack_yolov8_20260817_083521,2026-08-17T06:06:38.136224+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_analytics_bytetrack_yolov8_20260817_083521
ua_detrac,analytics_bytetrack_plus,2022,YOLO,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,25,,6.1013,60,0.5159908612554048,0.39252081413502093,0.6807453742479913,-0.10937001175033137,0.6129564439157742,0.9907543052649694,372.0,1946.0,5265.0,136.0,ua_detrac_analytics_bytetrack_plus_yolov8_20260817_083521,2026-08-17T06:09:58.524679+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_analytics_bytetrack_plus_yolov8_20260817_083521
