benchmark,tracker,detector_id,detector,FPS,target_fps,sequence_count,HOTA,DetA,AssA,MOTA,IDF1,IDCons,IDSW,Frag,MT,ML,run_id,evaluated_at,experiment_dir
fasttracker_bench,fasttracker,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,12,0.09767643350964499,0.0728165146010283,0.1351546248722947,0.07435448246848007,0.14645462161910566,0.9169677017675163,311.0,409.0,0.0,986.0,fasttracker_bench_fasttracker_yolov8_fps5_20260816_111023,2026-08-16T08:14:07.012767+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_fasttracker_yolov8_fps5_20260816_111023
fasttracker_bench,ocsort,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,12,0.09880606776252025,0.07296717139080515,0.13623564655281514,0.08008164284869122,0.14938706410508337,0.9726370049326308,124.0,548.0,0.0,975.0,fasttracker_bench_ocsort_yolov8_fps5_20260816_111023,2026-08-16T08:14:08.646102+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_ocsort_yolov8_fps5_20260816_111023
fasttracker_bench,hybridsort,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,12,0.09840689676189733,0.07270796715502066,0.13562453739020372,0.07983020653931609,0.1483834678553392,0.9686010956745991,123.0,541.0,0.0,975.0,fasttracker_bench_hybridsort_yolov8_fps5_20260816_111023,2026-08-16T08:14:13.637617+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_hybridsort_yolov8_fps5_20260816_111023
fasttracker_bench,analytics_bytetrack,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,12,0.101776607716178,0.07610880194027753,0.1386092630242165,0.08309559181205053,0.15543113169340741,0.9537124887821924,171.0,640.0,0.0,972.0,fasttracker_bench_analytics_bytetrack_yolov8_fps5_20260816_111023,2026-08-16T08:14:06.575893+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_analytics_bytetrack_yolov8_fps5_20260816_111023
fasttracker_bench,analytics_bytetrack_plus,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,12,0.10197112617860232,0.0760548309407062,0.1392024122011159,0.08314160630004075,0.1561291837791615,0.9707281968811627,144.0,634.0,0.0,972.0,fasttracker_bench_analytics_bytetrack_plus_yolov8_fps5_20260816_111023,2026-08-16T08:14:11.996715+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_analytics_bytetrack_plus_yolov8_fps5_20260816_111023
fasttracker_bench,botsort,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,12,0.09440792311525963,0.06913724414018803,0.13206795723695794,0.07627723071664279,0.13892431198231678,0.8878509571499109,589.0,338.0,0.0,973.0,fasttracker_bench_botsort_yolov8_fps5_20260816_111023,2026-08-16T08:14:05.283968+00:00,/media/7TBSSD/data/tracking/experiments/fasttracker_bench_botsort_yolov8_fps5_20260816_111023
ua_detrac,fasttracker,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,60,0.10772160460557785,0.09535096373520766,0.12527308836459775,-0.12372447060829275,0.17777575451908806,0.7752320392330824,9144.0,2062.0,8.0,5301.0,ua_detrac_fasttracker_yolov8_fps5_20260816_111023,2026-08-16T08:15:05.604764+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_fasttracker_yolov8_fps5_20260816_111023
ua_detrac,ocsort,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,60,0.11302383227924633,0.09033709121262207,0.14232686223221463,-0.048935199346126654,0.180689898397913,0.9641687353725383,560.0,586.0,8.0,5602.0,ua_detrac_ocsort_yolov8_fps5_20260816_111023,2026-08-16T08:15:31.253084+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_ocsort_yolov8_fps5_20260816_111023
ua_detrac,hybridsort,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,60,0.11382087053797411,0.09035995488773753,0.14426943149733057,-0.04622577016485564,0.18137290585580432,0.9665569194765649,501.0,531.0,8.0,5595.0,ua_detrac_hybridsort_yolov8_fps5_20260816_111023,2026-08-16T08:18:54.687843+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_hybridsort_yolov8_fps5_20260816_111023
ua_detrac,analytics_bytetrack,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,60,0.13925360304318443,0.128691574472126,0.15143283637942137,-0.020309854399521297,0.24199430972738287,0.9209756501957698,2497.0,1169.0,11.0,4281.0,ua_detrac_analytics_bytetrack_yolov8_fps5_20260816_111023,2026-08-16T08:17:08.704850+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_analytics_bytetrack_yolov8_fps5_20260816_111023
ua_detrac,analytics_bytetrack_plus,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,60,0.1408736863159147,0.12818126614638875,0.15555573870979192,-0.018616670093150208,0.24690248914662552,0.9531162382395953,1422.0,849.0,10.0,4353.0,ua_detrac_analytics_bytetrack_plus_yolov8_fps5_20260816_111023,2026-08-16T08:17:47.416423+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_analytics_bytetrack_plus_yolov8_fps5_20260816_111023
ua_detrac,botsort,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,60,0.11999351351353564,0.12810453618392473,0.1137280953992101,-0.014835838009229777,0.20203734291925435,0.6080958080357376,23547.0,1001.0,14.0,3363.0,ua_detrac_botsort_yolov8_fps5_20260816_111023,2026-08-16T08:16:52.688775+00:00,/media/7TBSSD/data/tracking/experiments/ua_detrac_botsort_yolov8_fps5_20260816_111023
trafficmot,fasttracker,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,27,0.2831479340071229,0.19719553549092897,0.4175498774777377,0.1777880278802788,0.38330141708157794,0.9874352063031306,29.0,90.0,0.0,326.0,trafficmot_fasttracker_yolov8_fps5_20260816_111023,2026-08-16T08:15:39.029432+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_fasttracker_yolov8_fps5_20260816_111023
trafficmot,ocsort,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,27,0.2927002625239837,0.2026218224524646,0.43305377079701246,0.19977449774497744,0.38256430394659335,0.947171368547419,81.0,113.0,0.0,326.0,trafficmot_ocsort_yolov8_fps5_20260816_111023,2026-08-16T08:15:35.896793+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_ocsort_yolov8_fps5_20260816_111023
trafficmot,hybridsort,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,27,0.2925493154413378,0.20188625389779755,0.43427798575909915,0.19890323903239032,0.3822061539670688,0.9478762115077904,84.0,111.0,0.0,326.0,trafficmot_hybridsort_yolov8_fps5_20260816_111023,2026-08-16T08:15:36.897925+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_hybridsort_yolov8_fps5_20260816_111023
trafficmot,analytics_bytetrack,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,27,0.30762174049957547,0.2234910835918144,0.4354403017018883,0.22217097170971709,0.4216039776824686,0.9885174395290003,26.0,145.0,0.0,271.0,trafficmot_analytics_bytetrack_yolov8_fps5_20260816_111023,2026-08-16T08:15:34.990306+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_analytics_bytetrack_yolov8_fps5_20260816_111023
trafficmot,analytics_bytetrack_plus,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,27,0.30766599988117993,0.22356936941281064,0.4354296963559437,0.2223759737597376,0.42171189979123175,0.9883339364553237,26.0,144.0,0.0,271.0,trafficmot_analytics_bytetrack_plus_yolov8_fps5_20260816_111023,2026-08-16T08:15:38.934876+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_analytics_bytetrack_plus_yolov8_fps5_20260816_111023
trafficmot,botsort,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,27,0.27518404979565075,0.1883557866967666,0.413471148354043,0.18562935629356295,0.35381542149420697,0.9130223633013813,274.0,89.0,0.0,343.0,trafficmot_botsort_yolov8_fps5_20260816_111023,2026-08-16T08:15:39.507731+00:00,/media/7TBSSD/data/tracking/experiments/trafficmot_botsort_yolov8_fps5_20260816_111023
cityflow,fasttracker,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,36,0.17179074399829028,0.10305735912846621,0.3053168008601158,-1.5736529942455149,0.24265149036557437,0.9685004991395708,124.0,486.0,0.0,198.0,cityflow_fasttracker_yolov8_fps5_20260816_111023,2026-08-16T08:16:22.094000+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_fasttracker_yolov8_fps5_20260816_111023
cityflow,ocsort,yolov8m-expert_eff-1_2_imgsz1280_conf0.25_vehicles,yolov8,5,5.0,36,0.1826184467310222,0.11111406041309028,0.315043526513493,-1.4319395999823392,0.2657093300698192,0.9715025638263382,91.0,439.0,0.0,123.0,cityflow_ocsort_yolov8_fps5_20260816_111023,2026-08-16T08:16:33.865669+00:00,/media/7TBSSD/data/tracking/experiments/cityflow_ocsort_yolov8_fps5_20260816_111023
